,colour2,colour1,sub_category,category_id,type,user_id,brand,buyer,month,price_id,price,date
65834,0,2,3,11,23,4124,0,0,6,1568,403.97,2021-07-19
65835,0,0,5,12,8,296,1,0,6,3950,410.82,2021-07-19
65836,0,0,3,11,8,99,1,0,6,3950,903.97,2021-07-19
65837,0,0,6,10,8,3626,1,0,6,3950,534.11,2021-07-19
65838,0,0,3,11,23,1627,0,0,6,12800,253.29,2021-07-19
65839,0,0,3,11,23,3787,0,0,6,12800,157.4,2021-07-19
65840,0,0,3,11,27,3818,2,0,6,12800,116.3,2021-07-19
65841,0,0,6,10,8,4066,0,0,6,1570,801.23,2021-07-19
65843,0,0,2,15,11,3777,2,0,6,12801,1140.96,2021-07-19
65844,0,0,3,11,8,867,1,0,6,12801,630.0,2021-07-19
65845,0,2,4,13,23,4149,0,0,6,3121,294.38,2021-07-19
65846,0,0,6,10,11,402,0,0,6,12761,184.79,2021-07-19
65848,0,0,6,10,8,3958,0,0,6,3729,301.23,2021-07-19
65849,0,0,3,11,8,811,0,0,6,3729,515.32,2021-07-19
65850,0,3,4,13,8,3746,0,0,6,3892,1287.53,2021-07-19
65851,0,0,6,10,25,3723,2,0,6,10950,327.4,2021-07-19
65852,0,0,3,11,11,3846,0,0,6,11683,177.95,2021-07-19
65853,0,0,3,11,11,3842,0,0,6,11683,139.59,2021-07-19
65854,0,0,4,13,18,3813,1,0,6,8748,349.18,2021-07-19
65855,0,0,5,12,8,3957,0,0,6,11843,369.73,2021-07-19
65857,0,0,0,9,11,1029,0,0,6,980,161.51,2021-07-19
65858,0,0,0,9,11,3803,0,0,6,980,162.88,2021-07-19
65859,0,0,5,12,8,3059,2,0,6,12766,34.36,2021-07-19
65860,0,0,3,11,8,1773,2,0,6,3892,1136.85,2021-07-19
65861,0,0,6,10,8,1753,2,0,6,3892,520.41,2021-07-19
65862,0,0,6,10,8,1758,2,0,6,3892,684.79,2021-07-19
65863,0,0,3,11,11,3701,1,0,6,12764,83.42,2021-07-19
65864,0,2,6,10,8,4149,0,0,6,12780,390.27,2021-07-19
65865,0,2,6,10,8,736,1,0,6,12780,582.05,2021-07-19
65867,0,0,3,11,11,3882,0,0,6,12799,86.16,2021-07-19
65868,0,0,5,12,27,412,1,0,6,10255,365.75,2021-07-19
65869,0,0,6,10,14,4107,2,0,6,10255,252.05,2021-07-19
65870,0,0,6,10,8,3836,0,1,6,505,268.36,2021-07-19
65871,0,2,6,10,8,4150,0,0,6,3996,335.48,2021-07-19
65872,0,2,6,10,8,336,0,0,6,3996,215.14,2021-07-19
65873,0,0,3,11,8,275,1,0,6,12803,630.0,2021-07-19
65875,0,0,4,13,11,886,1,0,6,12804,71.1,2021-07-19
65876,0,0,6,10,8,3924,2,0,6,12447,269.73,2021-07-19
65877,0,0,5,12,27,412,1,0,6,10255,365.75,2021-07-19
65878,0,0,6,10,14,4107,2,0,6,10255,252.05,2021-07-19
65879,0,0,3,11,8,1793,1,0,6,12802,116.3,2021-07-19
65881,0,0,3,11,11,3826,0,0,6,12805,97.12,2021-07-19
65882,0,0,3,11,11,3701,1,0,6,12764,83.42,2021-07-19
65883,0,0,3,11,8,3975,2,0,6,5960,572.47,2021-07-19
65884,0,0,3,11,8,3975,2,0,6,5960,572.47,2021-07-19
65885,0,0,5,12,8,4030,1,0,6,12805,212.19,2021-07-19
65887,0,2,6,10,8,595,0,0,6,12790,273.84,2021-07-19
65888,0,0,6,10,11,987,0,0,6,12362,134.11,2021-07-19
65889,0,0,5,12,8,4070,2,0,6,12783,234.11,2021-07-19
65890,0,0,3,11,11,3703,1,0,6,12807,132.74,2021-07-19
65891,0,0,5,12,11,3700,1,0,6,12807,56.03,2021-07-19
65893,0,0,3,11,23,1876,0,0,6,5959,451.92,2021-07-19
65894,0,2,3,11,8,3902,0,0,6,5959,397.12,2021-07-19
65895,0,2,3,11,23,3015,0,0,6,5959,342.33,2021-07-19
65896,0,0,6,10,8,3824,0,0,6,12809,119.77,2021-07-20
65897,0,0,6,10,11,4125,0,0,6,11940,190.27,2021-07-20
65899,0,0,6,10,11,987,0,0,6,16801,134.11,2021-07-20
65900,0,0,6,10,27,728,1,0,6,5959,342.33,2021-07-20
65901,0,0,3,11,8,3759,0,0,6,10884,410.82,2021-07-20
65902,0,0,6,10,8,4091,1,0,6,335,294.38,2021-07-20
65904,0,0,3,11,18,3787,0,0,6,12812,328.63,2021-07-20
65905,0,0,3,11,8,1768,2,0,6,7318,1047.81,2021-07-20
65906,0,0,6,10,8,1759,2,0,6,7318,910.82,2021-07-20
65907,0,0,5,12,12,1831,1,0,6,12813,1257.53,2021-07-20
65908,0,0,3,11,8,4000,1,0,6,8969,387.53,2021-07-20
65909,0,0,3,11,8,4071,2,0,6,12762,694.93,2021-07-20
65910,0,2,5,12,8,2903,1,0,6,10262,219.04,2021-07-20
65912,2,0,7,16,8,2019,1,0,6,11497,82.05,2021-07-20
65914,0,0,6,10,8,4033,0,0,6,12779,636.85,2021-07-20
65915,0,0,5,12,11,3984,0,0,6,12814,47.81,2021-07-20
65917,0,0,5,12,8,1988,1,0,6,2510,75.21,2021-07-20
65919,0,0,5,12,11,2148,1,0,6,2510,245.07,2021-07-20
65920,0,0,5,12,11,3984,0,0,6,2510,47.81,2021-07-20
65922,0,0,5,12,8,3895,1,0,6,2510,68.36,2021-07-20
65923,0,0,5,12,8,3959,2,0,6,12812,68.36,2021-07-20
65924,0,0,5,12,27,2733,0,0,6,12489,68.36,2021-07-20
65925,0,0,5,12,8,882,0,0,6,1283,164.25,2021-07-20
65926,0,0,5,12,27,2733,0,0,6,12489,68.36,2021-07-20
65928,0,0,5,12,27,2733,0,0,6,12489,68.36,2021-07-20
65932,0,0,6,10,19,3831,0,0,6,3809,280.68,2021-07-20
65933,0,2,6,10,23,2891,1,0,6,10096,554.66,2021-07-20
65934,0,2,6,10,23,2891,1,0,6,10096,554.66,2021-07-20
65938,0,0,3,11,12,4108,1,0,6,9929,1150.55,2021-07-20
65939,0,0,5,12,8,4059,0,0,6,3794,595.75,2021-07-20
65941,0,0,5,12,8,3059,2,0,6,12818,34.36,2021-07-20
65942,0,0,6,10,8,3810,0,0,6,12798,280.68,2021-07-20
65944,0,0,6,10,8,3810,0,0,6,12798,280.68,2021-07-20
65945,0,0,3,11,11,1925,0,0,6,12806,258.77,2021-07-20
65948,0,0,3,11,8,3814,2,0,6,12818,87.53,2021-07-20
65949,0,0,3,11,11,3764,0,0,6,12818,88.9,2021-07-20
65950,0,2,3,11,8,3873,2,0,6,10269,949.7,2021-07-20
65951,0,0,3,11,8,2249,0,0,6,10269,804.77,2021-07-20
65952,0,2,3,11,8,3818,0,0,6,1890,176.58,2021-07-20
65953,0,0,5,12,18,4050,0,0,6,9455,82.05,2021-07-20
65954,0,0,5,12,27,273,0,0,6,9455,75.21,2021-07-20
65955,0,0,5,12,18,4076,2,0,6,9455,82.05,2021-07-20
65956,0,0,3,11,8,1613,2,0,6,12799,527.3,2021-07-20
65957,0,2,6,10,8,3918,0,0,6,10263,506.71,2021-07-20
65958,0,2,6,10,8,878,0,0,6,5980,350.68,2021-07-20
65960,0,2,6,10,8,3947,1,0,6,5980,688.38,2021-07-20
65961,0,0,5,12,27,3751,0,0,6,12819,109.45,2021-07-20
65962,0,0,6,10,8,3767,0,0,6,10898,194.73,2021-07-20
65963,0,0,6,10,8,3915,0,0,6,10898,133.55,2021-07-20
65964,0,0,5,12,11,3700,1,0,6,11894,56.03,2021-07-20
65966,0,0,3,11,23,3806,0,0,6,9929,130.0,2021-07-20
65967,0,0,6,10,8,1902,1,0,6,12817,905.89,2021-07-20
65968,0,2,3,11,8,3774,0,0,6,12820,287.53,2021-07-20
65969,2,0,5,12,8,2673,4,0,6,1458,132.85,2021-07-20
65970,0,2,3,11,11,2322,0,0,6,2848,83.42,2021-07-20
65971,0,0,3,11,12,3730,0,0,6,8157,349.18,2021-07-20
65972,0,0,5,12,12,3785,0,0,6,8157,123.15,2021-07-20
65973,0,0,3,11,8,664,1,0,6,1458,21.64,2021-07-20
65975,0,0,6,10,8,4029,1,0,6,4245,328.63,2021-07-20
65976,0,0,6,10,8,4029,1,0,6,4245,328.63,2021-07-20
65977,0,0,6,10,8,4020,0,0,6,4245,321.78,2021-07-20
65978,0,0,6,10,8,4020,0,0,6,4245,321.78,2021-07-20
65979,0,0,5,12,8,3775,2,0,6,12807,72.47,2021-07-20
65981,0,2,5,12,8,2779,1,0,6,12427,95.75,2021-07-20
65982,0,0,0,9,8,3950,0,0,6,10107,779.81,2021-07-20
65983,0,0,3,11,8,4049,0,0,6,12798,390.27,2021-07-20
65984,0,0,6,10,8,3914,0,0,6,5690,766.99,2021-07-20
65985,0,0,3,11,9,3826,0,0,6,12798,342.33,2021-07-20
65986,0,0,4,13,18,189,1,0,6,3257,424.52,2021-07-20
65987,0,0,6,10,8,2377,1,0,6,10098,472.47,2021-07-20
65989,0,3,6,10,27,1921,0,0,6,3757,273.84,2021-07-20
65990,0,0,3,11,11,2461,1,0,6,1072,113.56,2021-07-20
65991,0,0,3,11,8,3900,0,0,6,1072,484.79,2021-07-20
65992,0,2,0,9,11,4054,0,0,6,12823,151.92,2021-07-20
65993,0,0,3,11,8,3900,0,0,6,1072,484.79,2021-07-20
65994,0,0,6,10,8,3851,0,0,6,1567,1486.16,2021-07-20
65995,0,0,6,10,8,3851,0,0,6,1567,1486.16,2021-07-20
65996,0,2,0,9,23,3976,0,0,6,1072,869.73,2021-07-20
65997,0,2,3,11,8,3880,0,0,6,12823,445.07,2021-07-20
65998,0,0,3,11,14,3067,1,0,6,9630,493.01,2021-07-20
65999,0,2,3,11,8,4129,1,0,6,7357,630.0,2021-07-20
66000,0,2,3,11,8,3880,2,0,6,7357,999.86,2021-07-20
66001,0,0,3,11,8,3939,2,0,6,5640,642.19,2021-07-20
66002,0,0,3,11,8,3091,1,0,6,5640,685.34,2021-07-20
66003,0,0,3,11,22,3955,0,0,6,5640,266.99,2021-07-20
66007,0,0,5,12,8,1067,1,0,6,12823,191.64,2021-07-20
66008,0,0,0,9,27,904,1,0,6,239,2887.67,2021-07-20
66009,0,0,0,9,27,3741,2,0,6,239,513.7,2021-07-20
66010,0,0,6,10,8,3715,1,0,6,9587,114.93,2021-07-20
66011,0,0,6,10,8,3715,1,0,6,9587,114.93,2021-07-20
66013,0,2,3,11,8,185,1,0,6,10990,540.96,2021-07-20
66015,0,0,4,13,8,3755,0,0,6,12598,465.62,2021-07-20
66016,0,0,5,12,8,296,1,0,6,2673,410.82,2021-07-20
66017,0,2,3,11,8,3577,1,0,6,2673,856.03,2021-07-20
66018,0,2,5,12,8,221,1,0,6,2673,383.42,2021-07-20
66019,0,0,5,12,8,3710,0,0,6,2673,136.85,2021-07-20
66020,0,0,6,10,8,3626,1,0,6,2673,534.11,2021-07-20
66021,0,0,6,10,8,4029,1,0,6,12826,328.63,2021-07-20
66022,0,0,6,10,8,13,1,0,6,12826,1232.74,2021-07-20
66023,0,0,6,10,8,13,1,0,6,12826,1232.74,2021-07-20
66024,0,0,6,10,8,3973,0,0,6,11524,1020.41,2021-07-20
66025,0,0,5,12,18,1029,0,0,6,12797,164.25,2021-07-20
66026,0,2,5,12,8,3894,0,0,6,10474,130.0,2021-07-20
